YearMonth,TotalDistance,RunCount
2011-01,11251.0,5
2011-02,8810.9,5
2011-03,5032.1,2
2011-04,6367.8,3
2011-07,32238.8,8
2011-08,23952.2,5
2011-09,2037.3,1
2011-11,13062.7,2
2012-07,10608.7,2
2012-08,8309.7,2
2012-09,15632.8,4
2012-10,27706.100000000002,7
2012-11,12607.1,3
2012-12,12786.0,2
2013-01,36941.2,8
2013-02,27431.300000000003,4
2013-03,34864.4,4
2013-04,8045.1,3
2013-05,39278.0,5
2013-06,23273.5,3
2013-09,5000.0,1
2013-10,7498.2,1
2013-11,24533.0,3
2014-01,25290.7,5
2014-02,6092.5,1
2014-03,34028.3,6
2014-04,36529.5,7
2014-05,11942.2,2
2014-06,42234.4,7
2014-07,23653.0,3
2014-08,44161.7,4
2014-09,30432.199999999997,5
2014-10,3323.4,1
2015-01,2020.0,1
2015-03,5652.3,2
2015-04,12384.099999999999,4
2015-07,7596.6,2
2015-11,5765.0,2
2015-12,71951.1,10
2016-01,114487.1,12
2016-02,88687.4,7
2016-03,52761.100000000006,5
2016-05,14002.5,3
2016-06,19905.4,5
2016-07,13198.3,3
2016-08,29695.399999999998,4
2016-11,6964.1,2
2016-12,3957.1,1
2017-01,21351.7,4
2017-02,13336.4,2
2017-05,4256.7,1
2017-06,4039.2,1
2017-09,1278.7,1
2017-10,3371.5,1
2017-11,27039.2,7
2018-01,13458.2,4
2018-03,10002.9,4
2018-04,3511.7,1
2018-05,1738.2,1
2018-06,13620.4,6
2018-07,10677.6,4
2018-09,2538.6,1
2018-11,797.2,1
2019-01,1279.5,1
2019-04,11834.7,4
2019-05,24252.9,6
2019-06,55311.2,11
2019-07,59060.8,9
2019-08,94009.59999999999,13
2019-09,116454.9,13
2019-10,36814.100000000006,4
2019-11,18177.0,4
2019-12,23336.6,5
2020-01,54772.7,10
2020-02,62569.2,15
2020-03,81843.0,13
2020-04,98163.9,13
2020-05,99989.0,12
2020-06,119590.2,15
2020-07,124487.1,14
2020-08,105852.9,14
2020-09,97312.5,10
2020-10,37319.0,5
2020-11,1419.0,1
2020-12,3272.8,1
2021-01,3017.1,1
2021-02,25615.3,7
2021-03,25857.399999999998,5
2021-04,41482.3,8
2021-05,20241.2,5
2021-06,18033.2,8
2021-07,31398.0,10
2021-08,42093.2,9
2021-09,47785.2,9
2021-10,73008.0,11
2021-11,121023.8,28
2021-12,86977.1,22
2022-01,138185.6,24
2022-02,8533.900000000001,2
2022-03,99179.9,14
2022-04,100128.4,18
2022-05,96147.2,14
2022-06,81477.8,14
2022-07,69408.4,11
2022-08,104355.3,14
2022-09,111068.6,13
2022-10,76536.0,7
2022-11,108435.1,13
2022-12,65619.0,11
2023-01,126700.6,21
2023-02,84247.59999999999,11
2023-03,82805.1,12
2023-04,75793.3,12
2023-05,46358.2,7
2023-06,57936.6,9
2023-07,55315.9,10
2023-08,73128.6,10
2023-09,13887.400000000001,4
2023-10,23580.4,6
2023-11,12231.2,2
2023-12,22907.7,6
2024-01,18685.5,7
2024-02,25215.6,5
2024-03,65639.59999999999,11
2024-04,102113.6,12
2024-05,124683.3,19
2024-06,114763.1,15
2024-07,139135.5,14
2024-08,134937.7,14
2024-09,112654.7,15
2024-10,91214.8,13
2024-11,83534.2,12
2024-12,39583.1,5
2025-01,168110.0,23
2025-02,117129.4,14
2025-03,212716.2,28
2025-04,178691.0,20
2025-05,106072.0,16
2025-06,163656.2,22
2025-07,128604.0,18
